2013/03/26,2014FIFAワールドカップブラジル　アジア最終予選,1-2,ヨルダン,Lose,アジア,W杯予選
2013/05/30,キリンチャレンジカップ2013,0-2,ブルガリア,Lose,欧州,
2013/06/04,2014FIFAワールドカップブラジル　アジア最終予選,1-1,オーストラリア,Draw,アジア,W杯予選
2013/06/11,2014FIFAワールドカップブラジル　アジア最終予選,1-0,イラク,Win,アジア,W杯予選
2013/06/15,FIFAコンフェデレーションズカップブラジル2013,0-3,ブラジル,Lose,南米,
2013/06/19,FIFAコンフェデレーションズカップブラジル2013,3-4,イタリア,Lose,欧州,
2013/06/22,FIFAコンフェデレーションズカップブラジル2013,1-2,メキシコ,Lose,北中米カリブ海,
2013/07/21,EAFF 東アジアカップ2013　決勝大会,3-3,中国,Draw,アジア,
2013/07/25,EAFF 東アジアカップ2013　決勝大会,3-2,オーストラリア,Win,アジア,
2013/07/28,EAFF 東アジアカップ2013　決勝大会,2-1,韓国,Win,アジア,
2013/08/14,キリンチャレンジカップ2013,2-4,ウルグアイ,Lose,南米,
2013/09/06,キリンチャレンジカップ2013,3-0,グアテマラ,Win,北中米カリブ海,
2013/09/10,キリンチャレンジカップ2013,3-1,ガーナ,Win,アフリカ,
2013/10/11,国際親善試合,0-2,セルビア,Lose,欧州,
2013/10/15,国際親善試合,0-1,ベラルーシ,Lose,欧州,
2013/11/16,国際親善試合,2-2,オランダ,Draw,欧州,
2013/11/19,国際親善試合,3-2,ベルギー,Win,欧州,
2014/03/05,キリンチャレンジカップ2014～ありがとう国立競技場～,4-2,ニュージーランド,Win,オセアニア,
2014/05/27,キリンチャレンジカップ2014,1-0,キプロス,Win,欧州,
2014/06/02,国際親善試合,3-1,コスタリカ,Win,北中米カリブ海,
2014/06/06,国際親善試合,4-3,ザンビア,Win,アフリカ,
2014/06/14,2014 FIFA World Cup Brazil,1-2,コートジボワール,Lose,アフリカ,W杯本戦
2014/06/19,2014 FIFA World Cup Brazil,0-0,ギリシャ,Draw,欧州,W杯本戦
2014/06/24,2014 FIFA World Cup Brazil,1-4,コロンビア,Lose,南米,W杯本戦
2014/09/05,キリンチャレンジカップ2014,0-2,ウルグアイ,Lose,南米,
2014/09/09,キリンチャレンジカップ2014,3-0,ベネズエラ,Win,南米,
2014/10/10,キリンチャレンジカップ2014,1-0,ジャマイカ,Win,北中米カリブ海,
2014/10/14,国際親善試合,0-4,ブラジル,Lose,南米,
2014/11/14,キリンチャレンジカップ2014,6-0,ホンジュラス,Win,北中米カリブ海,
2014/11/18,キリンチャレンジカップ2014,2-1,オーストラリア,Win,アジア,
2015/01/12,AFCアジアカップオーストラリア2015,4-0,パレスチナ,Win,アジア,
2015/01/16,AFCアジアカップオーストラリア2015,1-0,イラク,Win,アジア,
2015/01/20,AFCアジアカップオーストラリア2015,2-0,ヨルダン,Win,アジア,
2015/01/23,AFCアジアカップオーストラリア2015,1-1 PK4-5,アラブ首長国連邦,Lose,アジア,
