position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
投,キハダ,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/28,DeNA,0,2026RS
(三),武岡 龍世,.400,3,1,1,0,0,1,0,0,0,0,0,,中飛,,遊ゴロ,,,四球,,中安,,,,2026/03/28,DeNA,1,2026RS
(遊),長岡 秀樹,.250,4,1,1,0,1,1,0,0,0,0,0,中飛,,,見三振,,四球,,左安,中飛,,,,2026/03/29,DeNA,1,2026RS
(左),サンタナ,.300,4,0,1,3,1,0,0,0,0,0,0,三ゴロ,,,遊ゴロ,,空三振,,右２,,,,,2026/03/29,DeNA,1,2026RS
走左,赤羽 由紘,.400,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/29,DeNA,0,2026RS
(捕),古賀 優大,.333,4,0,2,0,0,0,0,0,0,0,0,二ゴロ,,,左安,,左安,,投ゴロ,,,,,2026/03/29,DeNA,1,2026RS
(一),オスナ,.083,4,0,0,1,0,0,0,0,0,0,0,,二ゴロ,,三ゴロ,,二直,,三野選,,,,,2026/03/29,DeNA,1,2026RS
(中),岩田 幸宏,.250,4,1,1,0,1,0,0,0,0,0,0,,空三振,,,左安,,遊飛,三ゴロ,,,,,2026/03/29,DeNA,1,2026RS
(右),橋本 星哉,.000,4,0,0,0,1,0,0,0,0,0,0,,空三振,,,一ゴロ,,二ゴロ,三失,,,,,2026/03/29,DeNA,1,2026RS
投,木澤 尚文,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/29,DeNA,0,2026RS
投,星 知弥,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/29,DeNA,0,2026RS
(二),伊藤 琉偉,.167,4,0,0,0,2,0,0,0,0,0,0,,,遊ゴロ,,空三振,,見三振,一飛,,,,,2026/03/29,DeNA,1,2026RS
(投),高梨 裕稔,.000,2,0,0,0,2,0,0,0,0,0,0,,,空三振,,空三振,,,,,,,,2026/03/29,DeNA,1,2026RS
投,荘司 宏太,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/29,DeNA,0,2026RS
打,宮本 丈,1.000,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,左安,,,,,2026/03/29,DeNA,0,2026RS
右,丸山 和郁,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,一ゴロ,,,,2026/03/29,DeNA,0,2026RS
(三),武岡 龍世,.333,4,1,1,0,2,0,0,0,0,0,0,,,空三振,,,二ゴロ,,右安,空三振,,,,2026/03/29,DeNA,1,2026RS
(遊),長岡 秀樹,.250,4,2,1,0,1,1,0,0,1,1,0,空三振,,中飛,,右安,二ゴロ,,四球,,,,,2026/03/31,広島,1,2026RS
(左),サンタナ,.231,3,0,0,0,2,1,0,0,0,1,0,空三振,,遊ゴロ,,空三振,四球,,,,,,,2026/03/31,広島,1,2026RS
走左,赤羽 由紘,.500,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,右安,,,,,2026/03/31,広島,0,2026RS
(捕),古賀 優大,.286,5,0,1,1,0,0,0,0,0,0,0,左飛,,,遊ゴロ,三ゴロ,二ゴロ,,遊安,,,,,2026/03/31,広島,1,2026RS
(一),オスナ,.176,5,2,2,2,3,0,0,0,0,0,1,,空三振,,中本,中安,,見三振,空三振,,,,,2026/03/31,広島,1,2026RS
(右),増田 珠,.400,2,2,2,2,0,1,1,0,0,0,1,,死球,,左２,左本,,四球,,,,,,2026/03/31,広島,1,2026RS
走右,丸山 和郁,.333,1,0,1,1,0,0,0,0,0,0,0,,,,,,,,左安,,,,,2026/03/31,広島,0,2026RS
(中),岩田 幸宏,.235,5,1,1,0,0,0,0,0,1,0,0,,投ゴロ,,投ゴロ,右２,,左飛,遊ゴロ,,,,,2026/03/31,広島,1,2026RS
(二),伊藤 琉偉,.200,3,0,1,0,0,2,0,0,0,0,0,,遊失,,故意四,故意四,,二安,二ゴロ,,,,,2026/03/31,広島,1,2026RS
(投),小川 泰弘,.333,3,0,1,1,0,0,0,0,0,0,0,,二飛,,中安,投飛,,,,,,,,2026/03/31,広島,1,2026RS
投,清水 昇,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/31,広島,0,2026RS
投,リランソ,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/31,広島,0,2026RS
投,大西 広樹,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/31,広島,0,2026RS
