wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
,八木 彬,1,32,8,3,0,2,1,1,0,2,2,寺地,2025/05/15,楽天,0,2025RS
H,中森 俊介,0.1,1,1,0,0,0,0,0,0,0,0,寺地,2025/05/15,楽天,0,2025RS
H,鈴木 昭汰,1,10,3,0,0,0,0,0,0,0,0,寺地,2025/05/15,楽天,0,2025RS
S,木村 優人,1,18,5,1,0,1,1,0,0,0,0,寺地,2025/05/15,楽天,0,2025RS
L,田中 晴也,6,106,28,6,0,5,4,0,0,4,4,寺地,2025/05/16,日本ハム,1,2025RS
,澤田 圭佑,1,21,6,2,1,0,1,0,0,3,3,寺地,2025/05/16,日本ハム,0,2025RS
,小野 郁,1,13,4,1,0,1,0,0,0,0,0,寺地,2025/05/16,日本ハム,0,2025RS
,菊地 吏玖,1,19,5,1,0,0,1,0,0,1,1,寺地,2025/05/16,日本ハム,0,2025RS
,ボス,8,96,27,3,0,5,0,0,0,0,0,寺地,2025/05/18,日本ハム,1,2025RS
,鈴木 昭汰,1,13,5,2,0,1,0,0,0,1,1,寺地,2025/05/18,日本ハム,0,2025RS
H,中森 俊介,1,20,4,0,0,2,1,0,0,0,0,寺地,2025/05/18,日本ハム,0,2025RS
H,木村 優人,1,16,5,1,0,0,1,0,0,0,0,寺地,2025/05/18,日本ハム,0,2025RS
W,小野 郁,1,13,3,0,0,2,0,0,0,0,0,寺地,2025/05/18,日本ハム,0,2025RS
,石川 柊太,6,96,27,6,0,1,3,0,0,1,1,佐藤,2025/05/20,オリックス,1,2025RS
H,八木 彬,1,10,3,1,0,0,0,0,0,0,0,佐藤,2025/05/20,オリックス,0,2025RS
H,中森 俊介,1,10,4,1,0,1,0,0,0,0,0,佐藤,2025/05/20,オリックス,0,2025RS
L,菊地 吏玖,0.0,2,1,1,1,0,0,0,0,1,1,佐藤,2025/05/20,オリックス,0,2025RS
L,西野 勇士,5.2,87,25,6,0,5,2,0,0,3,3,寺地,2025/05/21,オリックス,1,2025RS
