wls,pitcher,innings,opportunity,hits,strikeout,walk,run,earned_run,catcher,day_of_game,vs_team,starting,series
W,菅　野,6,26,5,7,2,3,3,小林,2018/05/18,横浜,1,2018RS
,澤　村,1,4,1,1,0,0,0,小林,2018/05/18,横浜,0,2018RS
,マシソン,1,3,0,1,0,0,0,小林,2018/05/18,横浜,0,2018RS
S,カミネロ,1,3,0,1,0,0,0,小林,2018/05/18,横浜,0,2018RS
L,田　口,6,27,9,4,1,2,2,大城,2018/05/19,横浜,1,2018RS
,宮　國,1,5,2,0,0,1,1,大城,2018/05/19,横浜,0,2018RS
,上　原,1,4,1,0,0,0,0,大城,2018/05/19,横浜,0,2018RS
,田　原,1,5,2,0,1,2,2,大城,2018/05/19,横浜,0,2018RS
L,野　上,5,23,7,3,1,5,5,小林,2018/05/20,横浜,1,2018RS
,宮　國,2,9,3,1,0,1,1,大城,2018/05/20,横浜,0,2018RS
,中　川,1,6,3,1,0,2,1,大城,2018/05/20,横浜,0,2018RS
,田　原,1,5,2,1,0,2,2,大城,2018/05/20,横浜,0,2018RS
W,山口俊,9,32,2,11,3,0,0,小林,2018/05/22,広島,1,2018RS
L,吉川光,3,21,6,2,5,8,8,小林,2018/05/23,広島,1,2018RS
,谷　岡,1,5,3,0,0,1,1,小林,2018/05/23,広島,0,2018RS
,池　田,3,9,1,3,0,0,0,大城,2018/05/23,広島,0,2018RS
,宮　國,2,7,1,2,1,0,0,大城,2018/05/23,広島,0,2018RS
L,菅　野,8,30,4,10,1,1,1,小林,2018/05/25,阪神,1,2018RS
,田　口,5,27,10,3,2,4,2,大城,2018/05/26,阪神,1,2018RS
,宮　國,1,3,0,1,0,0,0,大城,2018/05/26,阪神,0,2018RS
,上　原,1,3,0,2,1,0,0,大城,2018/05/26,阪神,0,2018RS
,澤　村,1,3,0,2,0,0,0,大城,2018/05/26,阪神,0,2018RS
L,澤　村,0.2,5,1,2,2,1,1,小林,2018/05/26,阪神,0,2018RS
L,野　上,5,23,6,6,2,4,4,大城,2018/05/27,阪神,1,2018RS
,谷　岡,2,9,1,2,2,2,2,大城,2018/05/27,阪神,0,2018RS
,池　田,1,7,5,0,0,3,1,大城,2018/05/27,阪神,0,2018RS
L,山口俊,7,29,7,10,1,4,4,大城,2018/05/29,日本ハム,1,2018RS
,マシソン,1,5,2,2,0,1,1,大城,2018/05/29,日本ハム,0,2018RS
,宮　國,1,4,0,1,1,0,0,大城,2018/05/29,日本ハム,0,2018RS
,吉川光,3.2,17,5,4,2,5,5,大城,2018/05/30,日本ハム,1,2018RS
,宮　國,0,3,0,0,3,1,1,大城,2018/05/30,日本ハム,0,2018RS
W,谷　岡,1.1,5,1,3,0,0,0,大城,2018/05/30,日本ハム,0,2018RS
,澤　村,2,7,1,3,0,0,0,大城,2018/05/30,日本ハム,0,2018RS
,マシソン,1,3,0,0,0,0,0,大城,2018/05/30,日本ハム,0,2018RS
S,カミネロ,1,6,3,2,0,2,2,大城,2018/05/30,日本ハム,0,2018RS
L,鍬　原,5,23,2,7,6,3,3,大城,2018/05/31,日本ハム,1,2018RS
,谷　岡,2,7,0,3,1,0,0,大城,2018/05/31,日本ハム,0,2018RS
,上　原,1,4,1,0,0,1,1,大城,2018/05/31,日本ハム,0,2018RS
,池　田,1,3,0,0,0,0,0,大城,2018/05/31,日本ハム,0,2018RS
W,菅　野,7,29,7,6,2,1,1,小林,2018/06/01,オリックス,1,2018RS
,マシソン,1,3,0,1,0,0,0,小林,2018/06/01,オリックス,0,2018RS
S,カミネロ,1,3,0,0,0,0,0,小林,2018/06/01,オリックス,0,2018RS
,田　口,5.1,23,5,3,2,1,1,小林,2018/06/02,オリックス,1,2018RS
,谷　岡,0.2,3,0,1,1,0,0,小林,2018/06/02,オリックス,0,2018RS
