wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
,羽田 慎之介,0.2,5,3,1,0,1,0,0,0,0,0,炭谷,2025/05/13,ソフトバンク,0,2025RS
,田村 伊知郎,2,35,12,5,1,0,1,0,0,4,4,炭谷,2025/05/13,ソフトバンク,0,2025RS
W,武内 夏暉,5,89,21,4,0,2,3,0,0,1,1,古賀悠,2025/05/14,ソフトバンク,1,2025RS
H,甲斐野 央,1,19,4,0,0,2,1,0,0,0,0,古賀悠,2025/05/14,ソフトバンク,0,2025RS
H,山田 陽翔,1,13,3,0,0,0,0,0,0,0,0,古賀悠,2025/05/14,ソフトバンク,0,2025RS
H,ウィンゲンター,1,13,3,0,0,2,0,0,0,0,0,古賀悠,2025/05/14,ソフトバンク,0,2025RS
S,平良 海馬,1,16,4,0,0,1,1,1,0,0,0,炭谷,2025/05/14,ソフトバンク,0,2025RS
L,高橋 光成,6,103,27,6,1,3,3,0,0,5,5,古賀悠,2025/05/15,ソフトバンク,1,2025RS
,水上 由伸,2,33,9,3,0,1,0,1,0,0,0,古賀悠,2025/05/15,ソフトバンク,0,2025RS
W,渡邉 勇太朗,7,89,26,3,0,4,1,0,0,0,0,古賀悠,2025/05/16,オリックス,1,2025RS
H,ウィンゲンター,1,13,3,0,0,0,0,0,0,0,0,古賀悠,2025/05/16,オリックス,0,2025RS
S,平良 海馬,1,9,3,0,0,1,0,0,0,0,0,古賀悠,2025/05/16,オリックス,0,2025RS
,今井 達也,8,116,29,4,0,9,2,0,0,1,1,古賀悠,2025/05/17,オリックス,1,2025RS
,平良 海馬,1,20,5,2,0,1,0,0,0,1,1,炭谷,2025/05/17,オリックス,0,2025RS
W,山田 陽翔,1,16,3,0,0,1,0,0,0,0,0,炭谷,2025/05/17,オリックス,0,2025RS
L,隅田 知一郎,8.1,117,30,4,1,7,1,0,0,3,3,古賀悠,2025/05/18,オリックス,1,2025RS
,ウィンゲンター,0.2,13,4,1,0,1,0,1,0,0,0,古賀悠,2025/05/18,オリックス,0,2025RS
W,菅井 信也,5,81,19,3,0,2,1,0,0,0,0,炭谷,2025/05/20,楽天,1,2025RS
H,甲斐野 央,1,16,4,0,0,2,1,0,0,0,0,炭谷,2025/05/20,楽天,0,2025RS
H,山田 陽翔,1,12,4,1,0,1,0,0,0,0,0,炭谷,2025/05/20,楽天,0,2025RS
H,ウィンゲンター,1,18,5,1,0,1,1,0,0,0,0,炭谷,2025/05/20,楽天,0,2025RS
S,平良 海馬,1,15,4,1,0,1,0,0,0,0,0,炭谷,2025/05/20,楽天,0,2025RS
,武内 夏暉,7.2,98,29,5,0,8,2,0,0,1,1,古賀悠,2025/05/22,楽天,1,2025RS
