wls,pitcher,innings,opotunity,hits,strikeout,walk,run,earned_run,catcher,day_of_game,vs_team,starting,series
,山　口,5,22,4,5,4,1,0,小林,2019/04/29,横浜,1,2019RS
,野　上,1,6,1,1,2,1,1,大城,2019/04/29,横浜,0,2019RS
,戸　根,1,5,1,2,1,0,0,大城,2019/04/29,横浜,0,2019RS
L,宮　國,1,6,2,1,1,3,3,大城,2019/04/29,横浜,0,2019RS
,中　川,1,4,0,1,0,0,0,大城,2019/04/29,横浜,0,2019RS
L,高　橋,7,28,5,5,4,3,3,炭谷,2019/04/30,中日,1,2019RS
,高　木,0.2,2,0,1,0,0,0,炭谷,2019/04/30,中日,0,2019RS
,田　原,0.1,1,0,0,0,0,0,炭谷,2019/04/30,中日,0,2019RS
,桜　井,1,4,1,0,0,0,0,炭谷,2019/04/30,中日,0,2019RS
W,菅　野,9,34,7,10,1,1,1,小林,2019/05/01,中日,1,2019RS
,ヤングマン,4.1,23,9,1,3,3,3,炭谷,2019/05/02,中日,1,2019RS
W,高　木,2,7,1,3,0,0,0,炭谷,2019/05/02,中日,0,2019RS
,田　原,0.2,2,0,0,0,0,0,炭谷,2019/05/02,中日,0,2019RS
,野　上,1,3,0,1,0,0,0,炭谷,2019/05/02,中日,0,2019RS
,畠,1,3,0,1,0,0,0,炭谷,2019/05/02,中日,0,2019RS
,メルセデス,5.2,24,8,5,0,3,2,大城,2019/05/03,広島,1,2019RS
,宮　國,0.1,1,0,0,0,0,0,大城,2019/05/03,広島,0,2019RS
,戸　根,1,3,0,0,0,0,0,小林,2019/05/03,広島,0,2019RS
L,田　原,0.2,4,2,1,0,2,2,小林,2019/05/03,広島,0,2019RS
,高　木,0.1,2,1,0,0,1,1,小林,2019/05/03,広島,0,2019RS
,今　村,5,20,3,3,2,1,1,炭谷,2019/05/04,広島,1,2019RS
,畠,1.2,7,4,0,0,1,1,炭谷,2019/05/04,広島,0,2019RS
,戸　根,0.1,1,0,0,0,0,0,炭谷,2019/05/04,広島,0,2019RS
,中　川,2,7,1,2,0,0,0,炭谷,2019/05/04,広島,0,2019RS
L,野　上,0.2,4,2,0,0,1,1,炭谷,2019/05/04,広島,0,2019RS
,山　口,7,28,7,7,4,3,3,小林,2019/05/05,広島,1,2019RS
,田　原,0.2,3,0,0,1,0,0,小林,2019/05/05,広島,0,2019RS
,戸　根,0.1,1,0,0,0,0,0,小林,2019/05/05,広島,0,2019RS
,中　川,1,3,0,1,0,0,0,小林,2019/05/05,広島,0,2019RS
,宮　國,1,3,1,0,0,0,0,小林,2019/05/05,広島,0,2019RS
,野　上,1,3,0,0,0,0,0,小林,2019/05/05,広島,0,2019RS
,田　口,1,6,0,0,3,0,0,小林,2019/05/05,広島,0,2019RS
W,高　橋,7,25,5,3,2,2,2,炭谷,2019/05/06,横浜,1,2019RS
,アダメス,1,3,1,0,0,0,0,炭谷,2019/05/06,横浜,0,2019RS
,高　木,1,4,1,1,0,0,0,炭谷,2019/05/06,横浜,0,2019RS
W,菅　野,6,28,8,4,1,5,4,小林,2019/05/08,横浜,1,2019RS
,田　口,1,3,0,1,0,0,0,大城,2019/05/08,横浜,0,2019RS
,アダメス,1,3,0,1,0,0,0,大城,2019/05/08,横浜,0,2019RS
S,中　川,1,3,0,1,0,0,0,大城,2019/05/08,横浜,0,2019RS
,ヤングマン,3,16,4,2,4,5,5,炭谷,2019/05/10,ヤクルト,1,2019RS
,高　木,1,5,1,1,1,0,0,炭谷,2019/05/10,ヤクルト,0,2019RS
W,野　上,1,4,0,0,1,0,0,大城,2019/05/10,ヤクルト,0,2019RS
,田　口,2,9,2,3,1,2,2,大城,2019/05/10,ヤクルト,0,2019RS
,アダメス,1,4,0,2,1,0,0,大城,2019/05/10,ヤクルト,0,2019RS
,戸　根,1,3,0,0,0,0,0,大城,2019/05/10,ヤクルト,0,2019RS
L,メルセデス,7,32,8,5,3,3,3,小林,2019/05/11,ヤクルト,1,2019RS
,田　原,0.2,3,1,0,0,0,0,小林,2019/05/11,ヤクルト,0,2019RS
,戸　根,0.1,1,0,0,0,0,0,小林,2019/05/11,ヤクルト,0,2019RS
,中　川,1,4,0,1,1,0,0,小林,2019/05/11,ヤクルト,0,2019RS
L,山　口,3,17,5,5,4,3,3,小林,2019/05/12,ヤクルト,1,2019RS
,高　木,2,7,1,3,0,0,0,小林,2019/05/12,ヤクルト,0,2019RS
,野　上,1,4,1,0,0,0,0,小林,2019/05/12,ヤクルト,0,2019RS
,田　口,3,11,2,5,0,1,1,大城,2019/05/12,ヤクルト,0,2019RS
,高　橋,6,22,3,4,1,1,1,大城,2019/05/14,阪神,1,2019RS
L,アダメス,0.1,3,1,0,1,2,2,小林,2019/05/14,阪神,0,2019RS
,戸　根,0.1,5,2,1,2,1,1,小林,2019/05/14,阪神,0,2019RS
,田　原,1.1,5,0,1,1,0,0,小林,2019/05/14,阪神,0,2019RS
,高　木,1,3,0,2,0,0,0,小林,2019/05/14,阪神,0,2019RS
L,菅　野,5.2,31,11,4,2,10,7,小林,2019/05/15,阪神,1,2019RS
,田　口,0.1,1,0,1,0,0,0,小林,2019/05/15,阪神,0,2019RS
,田　口,1,6,3,2,0,1,1,大城,2019/05/15,阪神,0,2019RS
,野　上,1,7,2,2,1,2,0,大城,2019/05/15,阪神,0,2019RS
,アダメス,1,6,2,0,1,0,0,大城,2019/05/15,阪神,0,2019RS
W,ヤングマン,5,22,3,6,4,1,1,炭谷,2019/05/17,中日,1,2019RS
,高　木,0.1,1,0,1,0,0,0,炭谷,2019/05/17,中日,0,2019RS
,アダメス,0.2,2,0,1,0,0,0,炭谷,2019/05/17,中日,0,2019RS
,戸　根,1,4,1,1,0,0,0,炭谷,2019/05/17,中日,0,2019RS
,中　川,1,5,1,1,1,0,0,炭谷,2019/05/17,中日,0,2019RS
S,澤　村,1,3,0,1,0,0,0,炭谷,2019/05/17,中日,0,2019RS
W,メルセデス,7,27,5,2,1,0,0,大城,2019/05/18,中日,1,2019RS
,中　川,1,6,2,1,1,1,1,大城,2019/05/18,中日,0,2019RS
,澤　村,1,5,2,0,0,0,0,炭谷,2019/05/18,中日,0,2019RS
L,山　口,5.1,27,10,6,2,4,4,小林,2019/05/19,中日,1,2019RS
,高　木,0.2,3,1,1,0,0,0,小林,2019/05/19,中日,0,2019RS
,アダメス,1,4,1,0,0,0,0,小林,2019/05/19,中日,0,2019RS
,戸　根,0.2,5,2,1,1,1,1,炭谷,2019/05/19,中日,0,2019RS
,田　原,0.1,1,0,0,0,0,0,炭谷,2019/05/19,中日,0,2019RS
L,高　橋,4,18,5,4,2,3,3,炭谷,2019/05/22,横浜,1,2019RS
,桜　井,1,5,1,1,1,0,0,炭谷,2019/05/22,横浜,0,2019RS
,田　口,2,7,2,2,0,1,1,炭谷,2019/05/22,横浜,0,2019RS
,アダメス,1,3,0,0,1,0,0,炭谷,2019/05/22,横浜,0,2019RS
,高　木,1,4,1,2,0,1,1,炭谷,2019/05/22,横浜,0,2019RS
,今　村,4.1,22,7,5,3,3,3,大城,2019/05/23,横浜,1,2019RS
W,桜　井,1.2,8,3,0,0,1,1,大城,2019/05/23,横浜,0,2019RS
,アダメス,1,3,0,0,0,0,0,大城,2019/05/23,横浜,0,2019RS
,澤　村,1,6,1,1,2,0,0,小林,2019/05/23,横浜,0,2019RS
S,中　川,1,5,2,2,0,0,0,小林,2019/05/23,横浜,0,2019RS
L,ヤングマン,5,20,4,3,1,4,4,炭谷,2019/05/24,広島,1,2019RS
,田　原,1.2,6,1,0,0,0,0,炭谷,2019/05/24,広島,0,2019RS
,戸　根,0,2,2,0,0,1,0,炭谷,2019/05/24,広島,0,2019RS
,桜　井,0.1,1,0,1,0,0,0,炭谷,2019/05/24,広島,0,2019RS
,アダメス,1,5,2,0,0,2,2,大城,2019/05/24,広島,0,2019RS
,高　木,1,5,3,1,0,1,1,大城,2019/05/24,広島,0,2019RS
L,メルセデス,3.1,19,9,2,2,5,4,小林,2019/05/25,広島,1,2019RS
,田　口,2.2,14,3,3,2,1,1,小林,2019/05/25,広島,0,2019RS
,戸　根,2,7,1,0,1,1,1,小林,2019/05/25,広島,0,2019RS
,中　川,1,5,1,0,1,0,0,小林,2019/05/25,広島,0,2019RS
,山　口,6,27,7,8,2,1,1,小林,2019/05/26,広島,1,2019RS
,アダメス,0.1,4,3,0,0,3,3,小林,2019/05/26,広島,0,2019RS
,戸　根,0,1,0,0,1,0,0,小林,2019/05/26,広島,0,2019RS
,田　原,0.2,4,1,1,1,0,0,小林,2019/05/26,広島,0,2019RS
W,澤　村,1,3,0,2,0,0,0,炭谷,2019/05/26,広島,0,2019RS
S,中　川,1,5,2,0,0,0,0,炭谷,2019/05/26,広島,0,2019RS
,今　村,6,25,7,5,1,2,2,小林,2019/05/29,阪神,1,2019RS
,田　口,1,5,2,0,0,0,0,小林,2019/05/29,阪神,0,2019RS
,澤　村,1,5,3,0,0,2,2,小林,2019/05/29,阪神,0,2019RS
,中　川,2,7,1,2,0,0,0,炭谷,2019/05/29,阪神,0,2019RS
,田　原,0,3,1,0,1,0,0,炭谷,2019/05/29,阪神,0,2019RS
,高　木,1,3,0,1,0,0,0,炭谷,2019/05/29,阪神,0,2019RS
L,桜　井,0.1,3,1,0,1,2,2,炭谷,2019/05/29,阪神,0,2019RS
,池　田,0,2,1,0,1,2,2,炭谷,2019/05/29,阪神,0,2019RS
L,ヤングマン,3.2,19,3,1,5,3,3,炭谷,2019/05/30,阪神,1,2019RS
,田　口,2.1,8,2,1,0,1,1,炭谷,2019/05/30,阪神,0,2019RS
,高　木,0.1,2,1,0,0,1,1,炭谷,2019/05/30,阪神,0,2019RS
,鍬　原,0.2,2,0,0,0,0,0,炭谷,2019/05/30,阪神,0,2019RS
,鍬　原,1,4,1,1,0,0,0,宇佐見,2019/05/30,阪神,0,2019RS
L,高　橋,4,23,6,1,4,6,5,炭谷,2019/05/31,中日,1,2019RS
,桜　井,2,8,1,2,1,0,0,宇佐見,2019/05/31,中日,0,2019RS
,田　原,2,7,1,4,0,1,1,宇佐見,2019/05/31,中日,0,2019RS
,池　田,1,4,1,1,0,0,0,宇佐見,2019/05/31,中日,0,2019RS
,メルセデス,1.2,11,3,1,3,4,4,宇佐見,2019/06/01,中日,1,2019RS
,宮　國,1.1,5,1,2,0,0,0,宇佐見,2019/06/01,中日,0,2019RS
,高　木,2,7,1,1,0,0,0,宇佐見,2019/06/01,中日,0,2019RS
,鍬　原,1,3,0,1,0,0,0,大城,2019/06/01,中日,0,2019RS
,鍬　原,1,3,0,1,0,0,0,小林,2019/06/01,中日,0,2019RS
,澤　村,1,4,2,0,0,0,0,小林,2019/06/01,中日,0,2019RS
W,中　川,1,4,2,0,0,1,0,小林,2019/06/01,中日,0,2019RS
W,山　口,7,28,4,8,2,1,0,小林,2019/06/02,中日,1,2019RS
,高　木,0.1,2,0,0,0,0,0,小林,2019/06/02,中日,0,2019RS
,田　原,0.1,1,0,0,0,0,0,小林,2019/06/02,中日,0,2019RS
S,中　川,1.1,5,1,2,0,0,0,小林,2019/06/02,中日,0,2019RS
,今　村,6,23,5,4,4,1,1,小林,2019/06/04,楽天,1,2019RS
,鍬　原,1,4,0,2,1,0,0,小林,2019/06/04,楽天,0,2019RS
,高　木,0.2,3,1,1,0,1,1,小林,2019/06/04,楽天,0,2019RS
W,田　原,0.1,1,0,0,0,0,0,小林,2019/06/04,楽天,0,2019RS
S,中　川,1,4,1,2,1,0,0,小林,2019/06/04,楽天,0,2019RS
,田　口,4,20,7,4,1,2,2,小林,2019/06/05,楽天,1,2019RS
,宮　國,1,4,1,2,0,0,0,小林,2019/06/05,楽天,0,2019RS
,宮　國,1,3,0,0,1,0,0,大城,2019/06/05,楽天,0,2019RS
,高　木,0.2,2,0,0,0,0,0,大城,2019/06/05,楽天,0,2019RS
,田　原,0.1,1,0,0,0,0,0,大城,2019/06/05,楽天,0,2019RS
L,田　原,0.1,3,1,0,1,2,2,炭谷,2019/06/05,楽天,0,2019RS
,吉川光,0,1,0,0,1,0,0,炭谷,2019/06/05,楽天,0,2019RS
,鍬　原,0.2,4,0,1,2,0,0,炭谷,2019/06/05,楽天,0,2019RS
W,桜　井,6.2,27,3,8,3,1,1,炭谷,2019/06/06,楽天,1,2019RS
,高　木,0.1,1,0,0,0,0,0,炭谷,2019/06/06,楽天,0,2019RS
,森　福,0.1,1,0,0,0,0,0,炭谷,2019/06/06,楽天,0,2019RS
,マシソン,0.2,4,2,1,0,0,0,炭谷,2019/06/06,楽天,0,2019RS
S,中　川,1,3,0,3,0,0,0,炭谷,2019/06/06,楽天,0,2019RS
W,メルセデス,5,25,7,3,4,2,2,大城,2019/06/07,ロッテ,1,2019RS
,宮　國,1,2,0,0,0,0,0,大城,2019/06/07,ロッテ,0,2019RS
,田　原,1,5,1,0,1,0,0,炭谷,2019/06/07,ロッテ,0,2019RS
,マシソン,1,3,1,1,0,0,0,炭谷,2019/06/07,ロッテ,0,2019RS
S,中　川,1,4,1,2,0,1,1,炭谷,2019/06/07,ロッテ,0,2019RS
,山　口,6,28,6,8,5,2,2,小林,2019/06/08,ロッテ,1,2019RS
,森　福,1,3,0,1,0,0,0,小林,2019/06/08,ロッテ,0,2019RS
,澤　村,1,4,0,1,1,0,0,小林,2019/06/08,ロッテ,0,2019RS
L,中　川,0.2,5,3,0,0,3,3,小林,2019/06/08,ロッテ,0,2019RS
,田　原,0.1,3,2,0,0,1,1,小林,2019/06/08,ロッテ,0,2019RS
W,菅　野,6,25,3,7,4,2,2,炭谷,2019/06/09,ロッテ,1,2019RS
,宮　國,1,4,1,0,0,0,0,炭谷,2019/06/09,ロッテ,0,2019RS
,澤　村,0.1,4,1,0,2,1,1,炭谷,2019/06/09,ロッテ,0,2019RS
,高　木,0.2,2,1,0,0,0,0,炭谷,2019/06/09,ロッテ,0,2019RS
,鍬　原,1,3,0,1,0,0,0,炭谷,2019/06/09,ロッテ,0,2019RS
L,今　村,6,28,9,3,1,4,3,小林,2019/06/11,西武,1,2019RS
,澤　村,1,3,1,0,0,0,0,小林,2019/06/11,西武,0,2019RS
,澤　村,1,5,1,1,1,0,0,大城,2019/06/11,西武,0,2019RS
,田　口,3.2,21,7,2,3,4,4,炭谷,2019/06/12,西武,1,2019RS
,田　原,0.1,1,0,1,0,0,0,炭谷,2019/06/12,西武,0,2019RS
W,高　木,3,9,0,4,0,0,0,炭谷,2019/06/12,西武,0,2019RS
,マシソン,1,4,1,2,0,0,0,炭谷,2019/06/12,西武,0,2019RS
,中　川,1,4,1,2,0,0,0,炭谷,2019/06/12,西武,0,2019RS
W,桜　井,7,28,4,3,4,1,1,炭谷,2019/06/13,西武,1,2019RS
,宮　國,1,4,0,1,1,0,0,炭谷,2019/06/13,西武,0,2019RS
,鍬　原,1,5,1,0,0,1,0,炭谷,2019/06/13,西武,0,2019RS
,メルセデス,5,23,5,9,2,2,2,大城,2019/06/14,日本ハム,1,2019RS
,田　原,0.1,1,0,0,0,0,0,大城,2019/06/14,日本ハム,0,2019RS
,森　福,0.2,3,1,1,0,0,0,大城,2019/06/14,日本ハム,0,2019RS
L,高　木,0.2,5,3,0,0,3,3,大城,2019/06/14,日本ハム,0,2019RS
,宮　國,0.1,1,0,0,0,0,0,大城,2019/06/14,日本ハム,0,2019RS
,宮　國,1,3,0,2,0,0,0,小林,2019/06/14,日本ハム,0,2019RS
W,山　口,8,34,4,9,4,2,0,小林,2019/06/15,日本ハム,1,2019RS
,鍬　原,0,3,3,0,0,3,3,小林,2019/06/15,日本ハム,0,2019RS
,田　原,0.2,2,0,0,0,0,0,小林,2019/06/15,日本ハム,0,2019RS
,中　川,0.1,1,0,0,0,0,0,小林,2019/06/15,日本ハム,0,2019RS
W,菅　野,7,28,6,5,1,3,3,炭谷,2019/06/16,日本ハム,1,2019RS
,マシソン,1,4,1,0,0,0,0,炭谷,2019/06/16,日本ハム,0,2019RS
,中　川,1,4,0,2,0,0,0,炭谷,2019/06/16,日本ハム,0,2019RS
,今　村,6,23,6,3,1,1,0,小林,2019/06/18,オリックス,1,2019RS
,澤　村,1,4,1,2,0,0,0,小林,2019/06/18,オリックス,0,2019RS
,マシソン,0.1,1,0,0,0,0,0,小林,2019/06/18,オリックス,0,2019RS
,高　木,0.1,2,1,0,0,1,1,小林,2019/06/18,オリックス,0,2019RS
W,田　原,0.1,2,1,0,1,1,1,小林,2019/06/18,オリックス,0,2019RS
S,中　川,1,4,1,1,0,0,0,炭谷,2019/06/18,オリックス,0,2019RS
,高　田,4,18,6,5,2,3,3,炭谷,2019/06/19,オリックス,1,2019RS
,鍬　原,2.1,9,1,3,1,0,0,炭谷,2019/06/19,オリックス,0,2019RS
,森　福,0.1,1,0,0,0,0,0,炭谷,2019/06/19,オリックス,0,2019RS
,宮　國,0.1,1,0,0,0,0,0,炭谷,2019/06/19,オリックス,0,2019RS
L,クック,1,6,2,1,1,1,1,大城,2019/06/19,オリックス,0,2019RS
,高　木,1,4,1,0,0,0,0,大城,2019/06/19,オリックス,0,2019RS
,桜　井,6,24,5,10,2,2,2,炭谷,2019/06/20,オリックス,1,2019RS
W,澤　村,2,7,1,2,0,0,0,炭谷,2019/06/20,オリックス,0,2019RS
S,中　川,1,4,2,0,0,0,0,炭谷,2019/06/20,オリックス,0,2019RS
L,メルセデス,5.2,23,6,5,1,3,3,大城,2019/06/21,ソフトバンク,1,2019RS
,宮　國,0,2,1,0,1,2,2,大城,2019/06/21,ソフトバンク,0,2019RS
,森　福,0.1,2,1,1,0,1,1,大城,2019/06/21,ソフトバンク,0,2019RS
,大　竹,1,3,0,1,0,0,0,大城,2019/06/21,ソフトバンク,0,2019RS
,クック,1,5,1,0,1,2,2,小林,2019/06/21,ソフトバンク,0,2019RS
,田　原,1,4,1,1,0,0,0,小林,2019/06/21,ソフトバンク,0,2019RS
W,山　口,7,27,5,7,1,1,1,小林,2019/06/22,ソフトバンク,1,2019RS
,高　木,1,3,0,2,0,0,0,小林,2019/06/22,ソフトバンク,0,2019RS
,澤　村,1,6,1,0,2,1,1,小林,2019/06/22,ソフトバンク,0,2019RS
L,菅　野,1,9,3,1,3,4,2,炭谷,2019/06/23,ソフトバンク,1,2019RS
,大　江,2,7,1,1,0,0,0,炭谷,2019/06/23,ソフトバンク,0,2019RS
,大　竹,2,8,2,3,1,0,0,炭谷,2019/06/23,ソフトバンク,0,2019RS
,野　上,1,3,0,0,0,0,0,大城,2019/06/23,ソフトバンク,0,2019RS
,高　木,1,4,1,1,0,1,1,大城,2019/06/23,ソフトバンク,0,2019RS
,鍬　原,1,4,1,1,0,0,0,大城,2019/06/23,ソフトバンク,0,2019RS
,中　川,1,3,0,2,0,0,0,大城,2019/06/23,ソフトバンク,0,2019RS
W,山　口,7,26,3,6,2,0,0,小林,2019/06/29,ヤクルト,1,2019RS
,大　竹,1,3,0,0,0,0,0,小林,2019/06/29,ヤクルト,0,2019RS
,高　木,1,6,3,1,0,2,2,小林,2019/06/29,ヤクルト,0,2019RS
,メルセデス,4,21,10,2,0,2,2,大城,2019/06/30,ヤクルト,1,2019RS
,澤　村,2,9,1,3,2,0,0,大城,2019/06/30,ヤクルト,0,2019RS
,田　口,0.2,4,1,0,1,1,1,大城,2019/06/30,ヤクルト,0,2019RS
,野　上,0.1,2,1,1,0,0,0,大城,2019/06/30,ヤクルト,0,2019RS
W,大　竹,1,5,1,2,1,0,0,炭谷,2019/06/30,ヤクルト,0,2019RS
S,中　川,1,5,1,1,1,0,0,炭谷,2019/06/30,ヤクルト,0,2019RS
W,菅　野,9,33,6,6,0,0,0,炭谷,2019/07/02,中日,1,2019RS
,桜　井,3,14,6,0,0,3,3,炭谷,2019/07/03,中日,1,2019RS
,鍬　原,2,7,1,1,0,0,0,炭谷,2019/07/03,中日,0,2019RS
,澤　村,1,4,2,0,0,0,0,炭谷,2019/07/03,中日,0,2019RS
,大　竹,1,6,3,1,0,2,2,炭谷,2019/07/03,中日,0,2019RS
,田　口,1,3,0,2,0,0,0,大城,2019/07/03,中日,0,2019RS
